"7520-01-424-4865","Office Supplies & Paper Special Order","Cushion Grip Ballpoint Pen","The Cushion Grip retractable pen has a round barrel, replaceable ink cartridge and includes cap and pocket clip. This pen features a plunger and clip that indicates the color of the ink. 18-month maximum shelf life (extendable).",13.12,"DZ","H"
"7520-01-424-4866","Office Supplies & Paper Special Order","Alphagrip Pen","This refillable stick pen is non-retractable and includes a cap. The ergonomic design features a cushion grip for reduced writing fatigue. 18-month maximum shelf life (extendable).",10.98,"DZ","H"
"7520-01-424-4867","Office Supplies & Paper Special Order","Easel","(NFES #3161). Dry erase melamine white board. Easel height adjusts from tabletop to standing height (41 to 68"") with the twist of a knob. This compact, lightweight frame easel provides a versatile surface with flipchart pad retainer and collapses for spac",167.29,"EA","H"
"7520-01-424-4872","Office Supplies & Paper Special Order","Alphagrip Pen","This refillable stick pen is non-retractable and includes a cap. The ergonomic design features a cushion grip for reduced writing fatigue. 18-month maximum shelf life (extendable).",10.2,"DZ","H"
"7520-01-424-4874","Office Supplies & Paper Special Order","Mechanical Pencil","For use with replacement lead NSN 7510-01-317-6422. Rubberized barrel mechanical pencil features a push-action and includes a replaceable eraser.",16.1,"DZ","H"
"7520-01-424-4875","Office Supplies & Paper Special Order","Alphagrip Pen","This refillable stick pen is non-retractable and includes a cap. The ergonomic design features a cushion grip for reduced writing fatigue. 18-month maximum shelf life (extendable).",10.2,"DZ","H"
"7520-01-424-4877","Office Supplies & Paper Special Order","Permanent Marker (Bullet Tip)","All-purpose, jumbo permanent tube-type markers are waterproof and feature durable bullet-tip that makes a uniform line.  Quick drying premium ink is perfect for use on porous and non-porous surfaces.  Premium quality and AMCI approved non-toxic. 18-month ",9.04,"DZ","H"
"7520-01-424-4879","Office Supplies & Paper Special Order","Cushion Grip Ballpoint Pen","The Cushion Grip retractable pen has a round barrel, replaceable ink cartridge and includes cap and pocket clip. This pen features a plunger and clip that indicates the color of the ink. 18-month maximum shelf life (extendable).",13.77,"DZ","H"
"7520-01-424-4883","Office Supplies & Paper Special Order","Permanent Marker (Bullet Tip)","All-purpose, jumbo permanent tube-type markers are waterproof and feature durable bullet-tip that makes a uniform line.  Quick drying premium ink is perfect for use on porous and non-porous surfaces.  Premium quality and AMCI approved non-toxic. 18-month ",6.65,"DZ","H"
"7520-01-424-4884","Office Supplies & Paper Special Order","Alphagrip Pen","This refillable stick pen is non-retractable and includes a cap. The ergonomic design features a cushion grip for reduced writing fatigue. 18-month maximum shelf life (extendable).",8.63,"DZ","H"
"7520-01-431-6240","Office Supplies & Paper Special Order","Hole Punch","9/32-inch holes. Adjustable three-hole punch with lever action for easy punching. Heavy-duty steel construction. Fully adjustable punch heads for paper sizes to 15"" and adjustable paper guide and measurement scale. Scuff and slip resistant rubber feet. Re",42.62,"EA","H"
"7520-01-431-6243","Office Supplies & Paper Special Order","Punch Head Replacement","Used to replace hole punch for 7520-00-139-4101. Replacement head for three-hole punch.",5.95,"EA","H"
"7520-01-431-6245","Office Supplies & Paper Special Order","Punch Head Replacement","Used to replace hole punch for 7520-01-431-6251. Replacement head for three-hole punch.",8.84,"EA","H"
"7520-01-431-6248","Office Supplies & Paper Special Order","Punch Head Replacement","Used to replace hole punch for 7520-00-263-3425. Replacement head for three-hole punch.",8.84,"EA","H"
"7520-01-431-6250","Office Supplies & Paper Special Order","Punch Head Replacement","Used to replace hole punch for 7520-01-431-6240. Replacement head for three-hole punch.",8.84,"EA","H"
"7520-01-431-6251","Office Supplies & Paper Special Order","Hole Punch","13/32-inch holes. Adjustable three-hole punch with lever action for easy punching. Heavy-duty steel construction. Fully adjustable punch heads for paper sizes to 15"" and adjustable paper guide and measurement scale. Scuff and slip resistant rubber feet. R",42.62,"EA","H"
"7520-01-436-4130","Office Supplies & Paper Special Order","Electric Stapler","For use with staples NSN 7510-00-272-9662. General use machine can staple up to 20 pages of 20-lb. basis weight at a time. Electric motor stapler holds up to 210 standard staples.",45.61,"EA","H"
"7520-01-437-6364","Office Supplies & Paper Special Order","Work Organizer File","Features a closing flap and band. Provides daily filing with pockets numbered 1 through 31. Accordion-style pocket folder expands to 15"".  Covered with leather-patterned paper. (Frame not included.)",16.86,"EA","H"
"7520-01-437-6365","Office Supplies & Paper Special Order","Work Organizer File","Features a closing flap and band. Provides alphabetical indexing from A to Z with 21 pockets. Accordion-style pocket folder expands to 15"".  Covered with leather-patterned paper. (Frame not included.)",23.92,"EA","H"
"7520-01-437-6369","Office Supplies & Paper Special Order","Work Organizer File","Features a closing flap. Provides daily filing with pockets numbered 1 through 31. Accordion-style pocket folder expands to 15"".  Covered with leather-patterned paper. (Frame not included.)",12.6,"EA","H"
"7520-01-439-3387","Office Supplies & Paper Special Order","Clipboard","Aluminum base clipboard features 5-1/2"" metal, flat spring clip.",7.03,"EA","H"
"7520-01-439-3388","Office Supplies & Paper Special Order","Liberty Series 3-in-1 Pen/Pencil","Three writing instruments in one.  Ergonomic pen and pencil combination includes both black and red ink in the ball point pen along with a mechanical pencil (with 0.5-mm lead).  All metal construction features a rubberized grip barrel for writing comfort.",10.65,"EA","H"
"7520-01-439-3390","Office Supplies & Paper Special Order","Clipboard","Features white screen printed ruler. Plastic base clipboard features 6"" metal, wire spring clip.",6.96,"EA","H"
"7520-01-439-3391","Office Supplies & Paper Special Order","Clipboard","Plastic base clipboard features 6"" metal, wire spring clip.",4.47,"EA","H"
"7520-01-439-3397","Office Supplies & Paper Special Order","Liberty Series Laser-Pen","Combination ball point pen and laser pointer for presentations and other office needs. Laser pointer range extends up to 500 yards. Metal barrel pen with a marbleized finish includes three laser batteries inside to operate the laser pointer. Side button o",28.74,"EA","H"
"7520-01-439-3398","Office Supplies & Paper Special Order","Clipboard","For legal-size and larger sheets. Aluminum base clipboard features 5-1/2"" metal, flat spring clip.",10.43,"EA","H"
"7520-01-439-3400","Office Supplies & Paper Special Order","Clipboard","Features black screen printed ruler. Plastic base clipboard features 6"" metal, wire spring clip.",6.96,"EA","H"
"7520-01-441-9130","Office Supplies & Paper Special Order","Fingerprinting Kit","Fingerprint kit consists of one fingerprint card holder,  20 ink cleaner towelettes, one porelon fingerprint pad, one accessory case, polypropylene, and one black carrying case with folding handle and locking latches. Includes instruction booklet.",185.08,"KT","H"
"7520-01-442-1469","Office Supplies & Paper Special Order","Rollerball Pen Set","Set of five pens includes one each of red, green, purple, blue and pink. Draw attention to any item with this set of waterproof fluorescent pens.",6.77,"PG","H"
"7520-01-445-0733","Office Supplies & Paper Special Order","Horizontal Desk File","Seven shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",44.32,"EA","H"
"7520-01-445-0735","Office Supplies & Paper Special Order","Horizontal Desk File","Five shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",34.13,"EA","H"
"7520-01-445-0736","Office Supplies & Paper Special Order","Horizontal Desk File","Eight shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",46.39,"EA","H"
"7520-01-445-0739","Office Supplies & Paper Special Order","Horizontal Desk File","Three shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",26.51,"EA","H"
"7520-01-445-0741","Office Supplies & Paper Special Order","Horizontal Desk File","Four shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",30.8,"EA","H"
"7520-01-445-7221","Office Supplies & Paper Special Order","Metal Grip Pen","The metal grip pen has a round barrel with shiny metallic finish and a cushion grip for greater comfort. Grip color indicates ink color. Ink cartridge is replaceable and pocket clip is provided. 18-month maximum shelf life (extendable).",20.49,"DZ","H"
"7520-01-445-7223","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided. 18-month maximum shelf life (extendable).",11.41,"DZ","H"
"7520-01-445-7225","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided. 18-month maximum shelf life (extendable).",11.41,"DZ","H"
"7520-01-445-7226","Office Supplies & Paper Special Order","Metal Grip Pen","The metal grip pen has a round barrel with shiny metallic finish and a cushion grip for greater comfort. Grip color indicates ink color. Ink cartridge is replaceable and pocket clip is provided. 18-month maximum shelf life (extendable).",16.59,"DZ","H"
"7520-01-445-7228","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided. 18-month maximum shelf life (extendable).",11.41,"DZ","H"
"7520-01-445-7230","Office Supplies & Paper Special Order","Metal Grip Pen","The metal grip pen has a round barrel with shiny metallic finish and a cushion grip for greater comfort. Grip color indicates ink color. Ink cartridge is replaceable and pocket clip is provided. 18-month maximum shelf life (extendable).",20.49,"DZ","H"
"7520-01-445-7233","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided. 18-month maximum shelf life (extendable).",11.41,"DZ","H"
"7520-01-445-7237","Office Supplies & Paper Special Order","Metal Grip Pen","The metal grip pen has a round barrel with shiny metallic finish and a cushion grip for greater comfort. Grip color indicates ink color. Ink cartridge is replaceable and pocket clip is provided. 18-month maximum shelf life (extendable).",16.59,"DZ","H"
"7520-01-446-6194","Office Supplies & Paper Special Order","Rollerball Pen Set","Set of 12 colorful pens includes three each of passion pink and majestic purple and two each of scarlet red, brilliant blue, and evergreen. Draw attention to any item with this set of waterproof fluorescent pens.",14.78,"DZ","H"
"7520-01-449-3740","Office Supplies & Paper Special Order","Security Ballpoint Pen","This non-retractable pen features a 24"" chain that attaches to table or desk to prevent loss. Writes smoothly without smearing. Black barrel is stamped ""U.S. Government"". 18-month maximum shelf life (extendable).",11.85,"DZ","H"
"7520-01-449-8335","Office Supplies & Paper Special Order","Laser Pointer","This pen style red laser presentation pointer features a wavelength of 650NM and has a 400 yard range.  A rugged on/off switch, low battery indicator and separate buttons for solid line and blink functions. Two AAA batteries are included.",34.16,"EA","H"
"7520-01-451-1065","Office Supplies & Paper Special Order","Push Cap Ballpoint Pen","Black barrel. Retractable, refillable ballpoint pen. Styled in classic European fashion found in more expensive pens. Barrel and cap made from high impact plastic with gold trim. 18-month maximum shelf life (extendable).",15.77,"DZ","H"
"7520-01-451-1066","Office Supplies & Paper Special Order","Push Cap Ballpoint Pen","Burgundy barrel. Retractable, refillable ballpoint pen. Styled in classic European fashion found in more expensive pens. Barrel and cap made from high impact plastic with gold trim. 18-month maximum shelf life (extendable).",15.57,"DZ","H"
"7520-01-451-2267","Office Supplies & Paper Special Order","Mechanical Pencil","Refillable Absolute III mechanical pencil has a cushioned grip section that reduces writing fatigue. The pencil is a push-action lead with a twist-action eraser. Features a rubber grip barrel.",11.96,"BX","H"
"7520-01-451-2268","Office Supplies & Paper Special Order","Mechanical Pencil","Refillable Absolute III mechanical pencil has a cushioned grip section that reduces writing fatigue. The pencil is a push-action lead with a twist-action eraser. Features a rubber grip barrel.",11.96,"BX","H"
"7520-01-451-2270","Office Supplies & Paper Special Order","Wide-Body Mechanical Pencil","Refillable mechanical pencil has a wide body and thick-grip cushion that are engineered for comfortable writing. Features a rubber grip barrel.",14.04,"BX","H"
"7520-01-451-2271","Office Supplies & Paper Special Order","Wide-Body Mechanical Pencil","Refillable mechanical pencil has a wide body and thick-grip cushion that are engineered for comfortable writing. Features a rubber grip barrel.",14.51,"BX","H"
"7520-01-451-2272","Office Supplies & Paper Special Order","Line Liter Highlighter  (Rubberized Barrel)","Pocket highlighter has rubberized barrel for ergonomic writing comfort. Chisel point with fluorescent highlighting ink.  Ink color matches pen highlights. Writes 300 meters. 18-month maximum shelf life (extendable).",10.02,"DZ","H"
"7520-01-451-2274","Office Supplies & Paper Special Order","Executive Twist Retractable Pen","Navy blue barrel. Twist it open and twist it closed. This handsome refillable pen comes with one refill. Metallic barrel with gold accents. 18-month maximum shelf life (extendable).",4.44,"EA","H"
"7520-01-451-2275","Office Supplies & Paper Special Order","Executive Twist Retractable Pen","Burgundy barrel. Twist it open and twist it closed. This handsome refillable pen comes with one refill. Metallic barrel with gold accents. 18-month maximum shelf life (extendable).",4.44,"EA","H"
"7520-01-451-2276","Office Supplies & Paper Special Order","Executive Twist Retractable Pen","Navy blue barrel. Twist it open and twist it closed. This handsome refillable pen comes with one refill. Metallic barrel with gold accents. 18-month maximum shelf life (extendable).",4.44,"EA","H"
"7520-01-451-2278","Office Supplies & Paper Special Order","Executive Fountain Pen","Classic fountain-tip pen with no-mess ink cartridge design. Executive fountain pen comes with a cap and pocket clip. Includes two replacement ink cartridges. Metallic barrel with gold accents. Replacement cartridges available in blue ink (7510-01-451-9186",4.44,"EA","H"
"7520-01-451-2279","Office Supplies & Paper Special Order","Executive Twist Retractable Pen","Burgundy barrel. Twist it open and twist it closed. This handsome refillable pen comes with one refill. Metallic barrel with gold accents. 18-month maximum shelf life (extendable).",4.44,"EA","H"
"7520-01-451-5391","Office Supplies & Paper Special Order","Flexpen","Flexible ballpoint pen features a soft vinyl barrel.",41.46,"BX","H"
"7520-01-451-9177","Office Supplies & Paper Special Order","LVX Retractable Pen","Essential LVX pen is retractable with a replaceable ink cartridge. Features a translucent clear barrel and uses easy writing low viscosity ink. Cap and pocket clip are provided. 18-month maximum shelf life (extendable).",15.87,"DZ","H"
"7520-01-451-9178","Office Supplies & Paper Special Order","LVX Retractable Pen","Essential LVX pen is retractable with a replaceable ink cartridge. Features a translucent clear barrel and uses easy writing low viscosity ink. Cap and pocket clip are provided. 18-month maximum shelf life (extendable).",14.95,"DZ","H"
"7520-01-451-9179","Office Supplies & Paper Special Order","LVX Retractable Pen","Essential LVX pen is retractable with a replaceable ink cartridge. Features a translucent clear barrel and uses easy writing low viscosity ink. Cap and pocket clip are provided. 18-month maximum shelf life (extendable).",12.47,"DZ","H"
"7520-01-451-9181","Office Supplies & Paper Special Order","LVX Retractable Pen","Essential LVX pen is retractable with a replaceable ink cartridge. Features a translucent clear barrel and uses easy writing low viscosity ink. Cap and pocket clip are provided. 18-month maximum shelf life (extendable).",18.95,"DZ","H"
"7520-01-451-9183","Office Supplies & Paper Special Order","LVX Retractable Pen","Essential LVX pen is retractable with a replaceable ink cartridge. Features a translucent clear barrel and uses easy writing low viscosity ink. Cap and pocket clip are provided. 18-month maximum shelf life (extendable).",22.57,"DZ","H"
"7520-01-451-9188","Office Supplies & Paper Special Order","Executive Ballpoint and Fountain Pen Set","Attractive ballpoint pen and fountain pen set dresses up any desk. Comes with one blue and one black ink cartridge. 18-month maximum shelf life (extendable).",8.43,"BX","H"
"7520-01-451-9192","Office Supplies & Paper Special Order","Executive Ballpoint and Fountain Pen Set","Attractive ballpoint pen and fountain pen set dresses up any desk. Comes with one blue and one black ink cartridge. 18-month maximum shelf life (extendable).",8.43,"SE","H"
"7520-01-452-1558","Office Supplies & Paper Special Order","Vertical File","Steel vertical sorting file consists of eight compartments.",42.06,"EA","H"
"7520-01-452-1562","Office Supplies & Paper Special Order","Vertical Desk File","Steel vertical desk file with eight slots. Letter size.",46.49,"EA","H"
"7520-01-452-1563","Office Supplies & Paper Special Order","Organizer with Desk Tray","Combination file includes three horizontal shelves and three vertical shelves.",47.17,"EA","H"
"7520-01-452-1564","Office Supplies & Paper Special Order","Organizer with Desk Tray","Combination file includes three horizontal shelves and three vertical shelves.",32.36,"EA","H"
"7520-01-453-1964","Office Supplies & Paper Special Order","Rubber Stamp Set","This pre-inked rubber stamp set is for administrators.  Contains four stamps:  E-mailed/Date/By, Faxed/Date/By, File, Original. 60-month maximum shelf life (extendable).",18.39,"KT","H"
"7520-01-453-1965","Office Supplies & Paper Special Order","Stamp Kit","This pre-inked stamp set contains four stamps:  confidential, duplicate, file copy and original. 60-month maximum shelf life (extendable).",18.39,"KT","H"
"7520-01-453-6287","Office Supplies & Paper Special Order","Four-Color Pen","With a push and a click, you can change the color of the ink to black, blue, green or red. 18-month maximum shelf life (extendable).",10.13,"DZ","H"
"7520-01-454-5704","Office Supplies & Paper Special Order","Marker Board","White melamine dry erase marker board with heavy duty black designer frame. Built-in eraser/pen tray. Easy-to-use, adjustable hangers allow board to be hung on office partition walls 1-1/2"" to 3"" thick. Adds to your office workspace without taking up desk",68.1,"EA","H"
"7520-01-455-2675","Office Supplies & Paper Special Order","Zebra Pen and Pencil Set","M/F 301 ballpoint pen and pencil set features self-loading 0.5mm mechanical pencil with matching, retractable, refillable 0.7mm ballpoint pen (black ink). Both feature an attractive and durable stainless steel barrel.",5.23,"SE","H"
"7520-01-455-7228","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.84,"DZ","H"
"7520-01-455-7232","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-455-7233","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-455-7234","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-455-7235","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-455-7237","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-455-7238","Office Supplies & Paper Special Order","Environmental Stick Pen","This ball point stick pen is made from 51% post consumer recycled polystyrene which satisfies Executive Order 13423.  It is lightweight, flexible, and the round barrel design provides added writing comfort.  Cap and end plug identifies the ink color. 18-m",3.46,"DZ","H"
"7520-01-456-7876","Office Supplies & Paper Special Order","Display Easel Tripod","Sturdy aluminum construction with easy to assemble 'unfold and twist' action collar that locks legs in place. Adjustable height, from 35 to 64 inches for table top to floor displays. Holds signs, marker boards, flip charts and other display materials up t",63.15,"EA","H"
"7520-01-457-0719","Office Supplies & Paper Special Order","Horizontal Desk File","Six Compartments. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",44.32,"EA","H"
"7520-01-457-0721","Office Supplies & Paper Special Order","Horizontal Desk File","Four shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",36.98,"EA","H"
"7520-01-457-0723","Office Supplies & Paper Special Order","Horizontal Desk File","Five shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",40.69,"EA","H"
"7520-01-457-0724","Office Supplies & Paper Special Order","Horizontal Desk File","Three shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",26.51,"EA","H"
"7520-01-457-0725","Office Supplies & Paper Special Order","Horizontal Desk File","Seven shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",52.66,"EA","H"
"7520-01-457-0726","Office Supplies & Paper Special Order","Horizontal Desk File","Eight shelves. Steel horizontal desk tray. Includes feet for desk and two 3/16"" holes for wall mounting. Letter size.",46.39,"EA","H"
"7520-01-457-5400","Office Supplies & Paper Special Order","Retractable Ballpoint Pen","Rubberized barrel with four-color woodland green camouflage pattern and a black plastic nose tip and clip. 18-month maximum shelf life (extendable).",8.45,"DZ","H"
"7520-01-458-3932","Office Supplies & Paper Special Order","Imperial Pen and Pencil Set","Imperial ballpoint pen and pencil set features a smooth wooden barrel. Metal accents are included on the clip, barrel ring and tips of both pen and pencil. Pen features a medium point and refillable black ink. Mechanical pencil uses 0.5mm lead with eraser",27.16,"SE","H"
"7520-01-458-3933","Office Supplies & Paper Special Order","Imperial Pen and Pencil Set","Imperial ballpoint pen and pencil set features a smooth wooden barrel. Metal accents are included on the clip, barrel ring and tips of both pen and pencil. Pen features a medium point and refillable black ink. Mechanical pencil uses 0.5mm lead with eraser",27.43,"SE","H"
"7520-01-458-3934","Office Supplies & Paper Special Order","Rosewood Pen","Executive Twist ballpoint pen features a real wood barrel, double plated gold accents and engraved center band. 18-month maximum shelf life (extendable).",20.37,"EA","H"
"7520-01-461-2660","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",14.92,"DZ","H"
"7520-01-461-2661","Office Supplies & Paper Special Order","Fluorescent Highlighter","Tube type free ink highlighter features a cap with a plastic tip. The non-replaceable feeder rod feeds ink from ink tank to the writing tip. The ink tank holds free-flowing liquid, a water-based pigmented fluorescent ink. The end plug and cap indicate ink",8.57,"BX","H"
"7520-01-461-2662","Office Supplies & Paper Special Order","Fluorescent Highlighter","Tube type free ink highlighter features a cap with a plastic tip. The non-replaceable feeder rod feeds ink from ink tank to the writing tip. The ink tank holds free-flowing liquid, a water-based pigmented fluorescent ink. The end plug and cap indicate ink",6.42,"BX","H"
"7520-01-461-2663","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",14.92,"DZ","H"
"7520-01-461-2664","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",14.92,"DZ","H"
"7520-01-461-2665","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",14.92,"DZ","H"
"7520-01-461-2666","Office Supplies & Paper Special Order","Fluorescent Highlighter","Tube type free ink highlighter features a cap with a plastic tip. The non-replaceable feeder rod feeds ink from ink tank to the writing tip. The ink tank holds free-flowing liquid, a water-based pigmented fluorescent ink. The end plug and cap indicate ink",8.57,"BX","H"
"7520-01-461-2667","Office Supplies & Paper Special Order","Fluorescent Highlighter","Tube type free ink highlighter features a cap with a plastic tip. The non-replaceable feeder rod feeds ink from ink tank to the writing tip. The ink tank holds free-flowing liquid, a water-based pigmented fluorescent ink. The end plug and cap indicate ink",8.17,"BX","H"
"7520-01-461-3779","Office Supplies & Paper Special Order","go-brite Liquid Highlighter Set","Set of four highlighters includes one each of pink, green, yellow and blue. Chisel tip fluorescent highlighters feature visible ink supply window in barrel. 18-month maximum shelf life (extendable).",4.42,"SE","H"
"7520-01-463-1990","Office Supplies & Paper Special Order","Security Ballpoint Pen","For use with refill NSN 7510-01-484-4561. Rubberized barrel chain pen has a grooved grip for writing comfort. Includes an upright holder that swivels 360°, and an adhesive base. A 24"" steel-ball chain attaches to the pen and base. Base and barrel match in",5.32,"EA","H"
"7520-01-463-1991","Office Supplies & Paper Special Order","Security Ballpoint Pen","For use with refill NSN 7510-01-484-4564. Rubberized barrel chain pen has a grooved grip for writing comfort. Includes an upright holder that swivels 360°, and an adhesive base. A 24"" steel-ball chain attaches to the pen and base. Base and barrel match in",5.43,"EA","H"
"7520-01-463-6556","Office Supplies & Paper Special Order","Liquid Ink Highlighter (Flat Tip)","Set of five highlighters includes one each of orange, green,  pink, yellow and blue. These high-quality highlighters feature a chisel tip, an ergonomically designed barrel, and fluorescent ink in assorted eye-catching colors. The multi-purpose ink even wo",4.14,"PG","H"
"7520-01-465-1426","Office Supplies & Paper Special Order","Gel Ink Pen","The Gel-Ink retractable rollerball pen features water-resistant, smearproof gel ink and a contoured rubber grip. Refillable. 18-month maximum shelf life (extendable).",10.2,"DZ","H"
"7520-01-465-1429","Office Supplies & Paper Special Order","Gel Ink Pen","The Gel-Ink retractable rollerball pen features water-resistant, smearproof gel ink and a contoured rubber grip. Refillable. 18-month maximum shelf life (extendable).",10.21,"DZ","H"
"7520-01-465-1431","Office Supplies & Paper Special Order","Gel Ink Pen","The Gel-Ink retractable rollerball pen features water-resistant, smearproof gel ink and a contoured rubber grip. Refillable. 18-month maximum shelf life (extendable).",13.17,"DZ","H"
"7520-01-465-1432","Office Supplies & Paper Special Order","Gel Ink Pen","The Gel-Ink retractable rollerball pen features water-resistant, smearproof gel ink and a contoured rubber grip. Refillable. 18-month maximum shelf life (extendable).",15.19,"DZ","H"
"7520-01-465-1448","Office Supplies & Paper Special Order","Precise Gel Roller","The Precise rollerball pen features waterproof gel ink that assures ultra-smooth writing without smearing. Features patented Pilot Precise needle-point technology. Non-retractable/Non-refillable. 18-month maximum shelf life (extendable).",13.8,"DZ","H"
"7520-01-465-1450","Office Supplies & Paper Special Order","Ballpoint Pen","Ballpoint pen features an advanced oil-based ink and long-wearing tungsten carbide ball for a soft, fluid comfortable write. Soft rubber triangular grip provides writing comfort and control. Refillable.",9.42,"DZ","H"
"7520-01-465-1462","Office Supplies & Paper Special Order","Fountain Pen","No-maintenance fountain pen is completely disposable, convenient and easy to use. Innovative, pure liquid ink technology ensures an exceptionally smooth stroke. Genuine stainless steel nib writes a crisp, clean fine line. Retro-styled barrel offers a visi",2.38,"EA","H"
"7520-01-465-9889","Office Supplies & Paper Special Order","Uni-Paint Marker","Six marker set includes one of each red, yellow, white, green, blue and black. Quick-drying oil-based paint comes in a pen-type marker for maximum neatness and control. Marks both opaque and glossy. For lettering, color coding, marking and touch-ups on al",14.99,"SE","H"
"7520-01-467-9433","Office Supplies & Paper Special Order","Manual Stapler","Has a 3"" throat. Desk-type stapler operates manually to staple up to 20 sheets of paper at one time. Anvil adjusts to produce either standard or pin clinch. Base swings clear for tacking. Holds 210 staples per load. Use with staples NSN 7510-00-272-9662.",7.13,"EA","H"
"7520-01-467-9434","Office Supplies & Paper Special Order","Manual Stapler","Has a 3"" throat. Desk-type stapler operates manually to staple up to 20 sheets of paper at one time. Anvil adjusts to produce either standard or pin clinch. Base swings clear for tacking. Holds 210 staples per load. Use with staples NSN 7510-00-272-9662.",8.8,"EA","H"
"7520-01-481-5368","Office Supplies & Paper Special Order","Pencil Sharpener","Heavy-duty commercial grade electric sharpener features precision steel cutters that sharpen to a perfect point. Features a removable shaving tray.",24.54,"EA","H"
"7520-01-481-7461","Office Supplies & Paper Special Order","Uni-ball Gel Impact Pen","Uni-ball Gel Impact rollerball pen is non-retractable with a replaceable ink cartridge. Pen features rubber grip. 18-month maximum shelf life (extendable).",20.1,"DZ","H"
"7520-01-483-8900","Office Supplies & Paper Special Order","Rotary Paper Cutter","Features a 27"" wood base. The ""Safety First"" cutter offers precision trimming for lightweight materials, including tissue paper, blueprint paper, posterboard, Mylar and film. Cuts up to eight sheets of 20-lb. basis weight paper at a time. Rotary paper cut",215.79,"EA","H"
